Protein,Group_Col,Group1,Group2,Group1_vs_Group2,F_P_Value,Log2_Fold_Change,Beta_Coefficient,Q_Value,Significant
HS6ST1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.3802596819451327,-0.14802476190476188,-0.1458746510417067,0.683673630727231,False
HSD11B1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.24544562183687066,0.08329095238095263,0.06895631503726314,0.5419576293989221,False
HSP 27,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.004870013637751343,-0.8252909523809535,-0.8534131326467597,0.03369271587923455,True
HSP90B1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7463392301272784,0.018078333333333307,0.022515157881541882,0.9088078925460187,False
ICA1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.0004883427476986973,-0.30447738095238097,-0.32234493381292945,0.004889562436128917,True
ICOSLG,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.3728037026831802,-0.13716984126984144,-0.1438302873716602,0.6765130943499422,False
IDUA,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7463587113050126,0.06342396825396834,0.07408988526323718,0.9088078925460187,False
IFI30,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.37903370701586225,-0.08737809523809492,-0.10717946992537439,0.6826057980094493,False
IFN-gamma,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.542087522484901,-0.11923384920634938,-0.1360097124768333,0.8021470318920757,False
IFN-gamma-R1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.14106640889469188,-0.15666896825396837,-0.1620644538332898,0.39634919600507074,False
IFNL1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5876126458953397,-0.021682380952380953,-0.0293535190529959,0.8295874109052088,False
IFNLR1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.6161940312655727,0.04789960317460318,0.0341282248172114,0.8455326114580284,False
IGF1R,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.16978611656477505,-0.15147547619047597,-0.15318306652439015,0.43989091120573703,False
IGFBPL1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.2552462897309957,0.197649603174602,0.19137433465394627,0.5558232046874415,False
IGSF3,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9706432777306585,-0.009935714285714381,-0.003206400764918328,0.9920526960135096,False
IKZF2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.20175155208309878,-0.14015964285714277,-0.1382777529385102,0.4847978323986142,False
IL-1 alpha,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.3722455360693171,0.10058059523809515,0.11609321653052573,0.6762700985804553,False
IL-10RA,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9387806632863663,0.0018902380952376951,-0.003217217881263293,0.9822872372840147,False
IL-10RB,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5441889893296723,-0.07239293650793643,-0.06305925723676865,0.8036290985654045,False
IL-12B,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.07499176618236561,0.20242630952380952,0.18902484991734708,0.266181066786328,False
IL-15RA,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.4667415866626978,0.033385119047619094,0.03475408354035589,0.751804859681023,False
IL-17A,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7518179808790308,-0.012851984126984184,-0.01921600467700236,0.9106281868660353,False
IL-17C,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.018460475217164173,0.14187361111111108,0.1417325016576588,0.09632428977444084,False
IL-17D,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.6005412714037641,-0.13594158730158679,-0.09567283775655916,0.8366219075490299,False
IL-18R1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.08433544904021086,-0.17083305555555556,-0.16096351783040846,0.2856581083087465,False
IL-1ra,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.2047546709022465,-0.15294849206349215,-0.1771699016761807,0.48859123565595947,False
IL-20,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.2794488367639862,0.040886666666666294,0.04158768362950502,0.5876778559729352,False
IL-20RA,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.17177323446569007,0.07509956349206348,0.07592280839990903,0.4427378672419955,False
IL-22 RA1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.2475041683722264,-0.1503417063492063,-0.1551739097689531,0.5449193983222775,False
IL-24,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.23545784916538776,-0.1163670238095238,-0.10858503448024927,0.5296638605272764,False
IL-27,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.006124039301680556,-0.36735126984126953,-0.38237127685790534,0.04020477202174138,True
IL-2RB,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9854765659934812,-0.005330873015872761,-0.001249143049129299,0.9953952253929248,False
IL-4RA,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7509275379113832,0.01862396825396824,0.016222340879956304,0.9106281868660353,False
IL-5R-alpha,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8511184597596085,0.015609206349205706,0.014446301586790458,0.9524625778850848,False
IL10,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.38592659165691545,0.06820634920634923,0.06063256748971223,0.6885683759806618,False
IL12,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.026780423156439217,0.31734706349206365,0.3098063850821843,0.12826921427693544,False
IL12RB1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5066119404684029,0.045973968253968045,0.03188758903887329,0.7778264622487325,False
IL13,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.23357661440407362,0.07409646825396865,0.07367263768003213,0.5288652320455871,False
IL15,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.02199527106038316,-0.1992800396825397,-0.23289575460909367,0.11074056244551723,False
IL16,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.20769014024853535,-0.1308502380952382,-0.12304179793267533,0.4930862132203833,False
IL17RB,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8058904154557842,0.030566904761904823,0.024726646869363822,0.9351369901990733,False
IL18,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9289094926273156,0.006445317460317401,0.01367522491649062,0.9783809510030006,False
IL1RL2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8529415805519167,0.019443174603174684,0.015587675356723611,0.9528847283721489,False
IL2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9792101832966158,-0.0056888888888890765,-0.0014044235054651369,0.9941324021745166,False
IL32,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.3900692773733304,0.06477920634920609,0.056552388111816086,0.6925054503732114,False
IL33,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.6714559174553532,-0.040447936507936544,-0.029589399960506753,0.8770081386625966,False
IL3RA,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5098529928234721,-0.03178900793650796,-0.03353588125248121,0.7806056274115913,False
IL4,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5416957463621948,0.04297559523809524,0.047427218565819364,0.8021470318920757,False
IL5,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9497952843069082,0.017145396825397063,-0.004427165760420015,0.986173582064364,False
IL6,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.05747690298500449,-0.3734392063492058,-0.41855972168116357,0.22433443525489022,False
IL7,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.07151566702607288,0.087647380952381,0.07952711301184609,0.25967192081904367,False
IL8,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.00034610454168140575,-0.6226186904761928,-0.6365852321550853,0.0036439276052850776,True
ILKAP,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.026258186013111834,-0.29129797619047626,-0.3248078708705099,0.12662427247449073,False
IMPA1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,6.150172974978591e-05,-0.4419084126984127,-0.452276762298238,0.0007867877786609851,True
ING1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.00959925197833947,-0.170890158730159,-0.17736868617431306,0.05787143590572282,False
INPPL1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5175446324055184,0.05339384920634932,0.06126004492975233,0.7860310124949643,False
IQGAP2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.14244623093840142,0.07490047619047613,0.08107324270809427,0.3987693925462098,False
IRAK1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.15886163340061873,-0.07666857142857142,-0.09791634754438097,0.42576770160180516,False
IRAK4,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8466222382213835,0.02889857142857144,0.014272202879387755,0.9499709186293638,False
IRF9,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.6059301306061365,-0.01030333333333322,-0.02778813557064852,0.8394267648720486,False
ISLR2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.05155879985831895,-0.3733015476190471,-0.4187518293929062,0.2075371893286879,False
ITGA11,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9723618096955061,0.006556428571428546,0.003560164366697361,0.9927010986652657,False
ITGA6,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7798641069138341,0.029474047619047608,0.015519034439450796,0.9214999158047825,False
ITGAV,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.09509189810483659,-0.11701111111111111,-0.11260550664685459,0.3107823737160456,False
ITGB1BP1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.15647532634397648,0.1313337698412702,0.13734496928235657,0.42359159320917245,False
ITGB1BP2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.1126790875639777,0.11913603174603182,0.12916482312539007,0.34607026122732265,False
ITGB5,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.15682510908125497,-0.1575998412698414,-0.1404567909624555,0.4237480742837011,False
ITGB6,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7545116260178888,-0.008798730158730256,-0.022493075452309254,0.9109919193095855,False
ITGB7,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.416751105268104,-0.0303316666666667,-0.043745424962314525,0.7144870321115995,False
ITM2A,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.757249813814418,-0.0063536507936508,-0.023680820850578432,0.912456415973161,False
IgG Fc receptor II-b,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8741202383807117,0.027253730158730165,0.012696047984541266,0.9602081915917119,False
JAM-B,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7001340234242586,-0.03273912698412573,-0.043856104065393225,0.8901812148004067,False
JUN,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.74631679936239,-0.025320714285714252,-0.041056815840115155,0.9088078925460187,False
KAZALD1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.10665328998741219,0.17210738095238087,0.18182331597991985,0.33544197424060473,False
KIF1BP,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.16938042507549222,-0.12221214285714366,-0.11126271402468299,0.43989091120573703,False
KIM1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.02692355460693765,0.22606857142857145,0.24051936670557805,0.12864552171300542,False
KIR2DL3,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9099476062114942,0.003489325396825338,-0.005681223987079841,0.9734607277188736,False
KIR3DL1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.31938507958035256,0.11124039682539699,0.10567306785106331,0.6262607078603228,False
KIRREL2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8944015820681867,0.0016174603174604618,-0.012592234843490632,0.9688284860858029,False
KLB,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.38766744739959214,0.05704349206349235,0.044910341019873706,0.6896673115568637,False
KLK10,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.47690295586083187,0.17846373015872974,0.14686278118557966,0.7574887447783577,False
KLK12,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.4170431030522511,0.04670261904761919,0.05555406759447326,0.7146492219579534,False
KLK13,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7996163554137095,-0.029831587301587192,-0.025499519728115816,0.9317181692185939,False
KLRD1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.42575944414217726,-0.06024531746031743,-0.07273670826398175,0.7205992514453745,False
KPNA1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8261078907406931,0.013935396825396795,0.014629778095731578,0.9424300957191937,False
KRT19,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.23983455714576205,0.074593253968254,0.06996209074179938,0.5343811631120278,False
KYAT1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.011040156547062684,-0.35287571428571596,-0.3882012727001755,0.06420407240262778,False
KYNU,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.16975703778807194,-0.09926444444444449,-0.11384449053792287,0.43989091120573703,False
LAG3,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7956091384159278,0.030949206349206337,0.014682846749903871,0.9292211068544761,False
LAIR-2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9258887511556874,0.0913076190476203,0.032543786183761705,0.9777876189844947,False
LAMP3,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9867426107449215,0.013533968253968243,0.0008947023620125075,0.9957379852667796,False
LAP TGF-beta-1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5458791833609682,0.071028015873015,0.1062466190689391,0.8051894148390404,False
LAT,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5381863533637193,-0.07132595238095218,-0.08583585953011151,0.8003558183316745,False
LAT2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.4115324540769889,0.05166162698412702,0.05363574581861554,0.7112966520686997,False
LAYN,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.25873075916752725,-0.18181309523809475,-0.20426397959203946,0.5606536570324068,False
LEP,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.11608054676548125,0.2830397619047619,0.23683787401945036,0.35240868547662574,False
LEPR,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.186010210137618,0.09335789682539675,0.08963260634036455,0.4630286710654781,False
LGALS7,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.14856505305069467,0.48861166666666667,0.4999334806395852,0.41013629124143974,False
LHB,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5956816604380503,0.045861746031745976,0.039399556537237285,0.8342985630929873,False
LIF,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.13737263062302335,-0.11523523809523817,-0.11923422634969381,0.3901852694460072,False
LIF-R,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.08390989029871403,-0.18583499999999997,-0.18340983238003522,0.28482190190832657,False
LILRA5,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.08489889579999636,-0.13711761904761907,-0.14627150235020397,0.2872004242470166,False
LILRB4,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9844492523335326,0.015159365079365328,-0.0018618913754681748,0.994557046659685,False
LOX-1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.1508714519782428,-0.17500920634920725,-0.18030604027020805,0.4146791942767107,False
LPL,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.05524487760440578,-0.2903553174603175,-0.28838376446862685,0.21807908593715405,False
LRIG1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8347549222092345,-0.009773015873018487,-0.03318243979164098,0.9444913018182282,False
LRMP,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.17441724313371784,0.04446404761904743,0.050261307429747985,0.44654848306319667,False
LRP1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7201748012633651,0.017977619047619076,0.02278704942491374,0.8997054331218723,False
LRP11,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.730164888617991,0.08604126984127003,0.06558449254979462,0.9025146033321012,False
LRRN1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.949449362933771,-0.005881190476190845,-0.007820236772158873,0.986173582064364,False
LTA4H,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.1321313271083283,-0.07738511904761869,-0.07391486192130668,0.38224561780521843,False
LTBP3,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.2364606745360799,-0.1545886111111111,-0.1809838485714962,0.5305466680152298,False
LXN,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.26448433299962076,0.0765070634920636,0.08275751029084241,0.5692519940607554,False
LY75,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8256021402466958,-0.003953333333333475,-0.011960480714189165,0.9424300957191937,False
LY9,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9662515936099269,-0.022546666666666645,0.0031247757945887245,0.9903460840290791,False
LYAR,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.033713078549762625,0.19528761904761893,0.23224480658344526,0.15249332351964137,False
LYN,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.0005211233765841243,-0.24034706349206353,-0.24247790016277923,0.0051594451072987215,True
LYPD1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.01307110706802929,0.10178190476190485,0.11329107852166248,0.07315781132878753,False
LYPD3,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8711336667625972,-0.039626269841269934,-0.018135001034750575,0.9588885029503398,False
MAD homolog 5,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.14796362129079313,-0.28428317460317476,-0.24598543324240996,0.4087591201690195,False
MAD1L1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.009175529441152568,-0.2579812301587301,-0.2621768360666217,0.05612353771756405,False
MAEA,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7876145291093263,0.027556468253968402,0.02754001817541117,0.9250536861010377,False
MAGED1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8373932974613366,-0.016682222222222154,-0.019676229382829723,0.9452721362845224,False
MANF,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.6751808814341496,-0.03845095238095253,-0.046120365077545605,0.8785618979641097,False
MAP2K6,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,1.6112392670311488e-07,-0.528644761904762,-0.5338761687130364,3.352892156197978e-06,True
MAP4K5,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7085993057579649,-0.08227567460317457,-0.06529525219431605,0.8949481542179849,False
MAPT,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,7.3038829682239e-12,-2.4948828571428576,-2.503442545126834,3.2520640925555574e-10,True
MARCO,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.74108100685115,0.01677571428571456,0.03827121800611788,0.9064924715176121,False
MASP1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.6824601497898768,-0.0042903968253966696,-0.01842339471645721,0.8828448943069823,False
MATN3,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5692481885215328,-0.12794547619047592,-0.11153762167603914,0.8195816247947744,False
MAX,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.1627833591219073,0.12885091269841298,0.13709104599726413,0.4311676212035896,False
MCFD2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7685941305849723,-0.0008992063492065938,-0.017774873072887776,0.9154573008646754,False
MCP-1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.31579369728223167,0.11696253968253956,0.12824435556766034,0.6234204214699524,False
MCP-2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.07188036086292712,-0.38732615079364985,-0.37823951728575433,0.2601664287363893,False
MCP-3,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.1015492063743376,-0.12528384920634916,-0.143388199633563,0.325300311416186,False
MCP-4,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5960524194270997,-0.15461448412698342,-0.11428921266782116,0.8342985630929873,False
MDGA1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.4138716135043369,0.132251666666666,0.13894894089168766,0.7119653940150973,False
MEP1B,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9090027638618046,0.023663571428571673,0.008648342554381336,0.9733981844857315,False
MERTK,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8659460407734585,0.013670634920635027,0.013285508052295648,0.9562427344335017,False
METAP1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5086158305739885,0.03966099206349205,0.046474419221948116,0.7794016861516416,False
METAP1D,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,6.140533733830545e-12,-1.1285611904761905,-1.1456351198968533,2.832254782482329e-10,True
METRNL,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.6222666908906797,0.07647563492063503,0.06701440770056039,0.8498361901291779,False
MGMT,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.006017208724341706,-0.18033555555555555,-0.1946732491053194,0.039666793658398175,True
MIA,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8081038233260112,-0.03490499999999841,-0.01315306565087232,0.9357238808525801,False
MIC-A/B,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.05721886624116173,0.36586936507936496,0.3901659377583563,0.22409551053663834,False
MILR1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.3636814388270305,-0.11494373015873038,-0.12478638732224202,0.6675730572014908,False
MK,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.13237136227208843,-0.308936587301587,-0.2768306609316056,0.38266222608217076,False
MMP-1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.04704495760241158,-0.36673000000000044,-0.3818701988529756,0.19518392092203032,False
MMP-10,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.6294153917988435,-0.10755603174603134,-0.07810774934814907,0.8537173326749352,False
MMP12,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.17412035473519535,-0.29813190476190454,-0.3214553062440852,0.44654848306319667,False
MMP7,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.03718391330767814,0.5183124603174614,0.5125369433753463,0.16409512129689632,False
MOG,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9234362398718039,-0.004717857142855664,-0.002373467565751186,0.9768378224576746,False
MRC2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7341428802865326,0.008553809523809464,0.010441097875856287,0.9035081463686944,False
MSLN,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.3363957165730308,-0.12521650793650796,-0.11490876138286041,0.643560696372313,False
MSR1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.17852416779804922,-0.19721436507936518,-0.21065281000918232,0.4527067728872889,False
MUC-16,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9067656915061213,-0.02881555555555565,-0.009280774273535707,0.9718434045073284,False
MVK,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.5015942097804944,0.03874591269841288,0.03852907993721483,0.773108295023047,False
MetAP 2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,4.725262497840254e-08,-0.7244761904761905,-0.7356126439522741,1.0694679412557986e-06,True
N-CDase,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7925812938424043,-0.013038333333333318,-0.02227421392858656,0.9271793500548895,False
N2DL-2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.6194098627815269,0.12656023809523775,0.0842569645421628,0.8480839385618912,False
NAA10,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.07766433963601269,-0.13287492063492068,-0.14629461369222224,0.27160368007855246,False
NAAA,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7597229403833173,-0.011629682539682551,-0.03360076608193368,0.9136511697678483,False
NADK,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.0024912947364648594,-0.31659976190476197,-0.3399694533273273,0.01954293213545761,True
NBL1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.12102239476390637,0.07990968253968278,0.08221685586312028,0.36193188978173874,False
NBN,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.2762897538256427,-0.13334293650793638,-0.11976999572050125,0.5837829634120817,False
NCAN,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.11680789236638715,0.0574231746031737,0.05184461614390695,0.35276957262603476,False
NCF2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.898755104078953,0.010624523809523834,0.010767878131447015,0.9702124041052764,False
NCLN,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.6776283313853864,-0.04911999999999994,-0.04214814371418627,0.8799877756691389,False
NCR1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7747080051583367,0.044676269841269864,0.02529779854727237,0.918413898237839,False
NDRG1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.04785560440501512,-0.1345833333333335,-0.1421707114585271,0.19784644345325733,False
NECTIN2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8730654626724959,-0.005174603174602943,-0.022432128667654705,0.9600347319950044,False
NEFL,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.1728160119413532,0.32400972222222,0.32347880557299924,0.44454254318088365,False
NEMO,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.8354653194867232,-0.01854071428571428,-0.017323709796753253,0.9447503219878565,False
NEP,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.9295033637474907,-0.02595206349206336,-0.009665740448907272,0.978627384823073,False
NF2,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.39535497057019053,-0.07180349206349204,-0.09271159811744831,0.6955803786853022,False
NFATC1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.06993405302760061,0.08398333333333335,0.09786792562661584,0.2560286645061906,False
NFATC3,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.2648489682432697,0.049561428571428534,0.04193711517980704,0.5698059210670825,False
NFKBIE,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.08895721815725183,-0.09451166666666672,-0.09435937911487007,0.2965240605241728,False
NINJ1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.19515447234221733,0.07454261904761905,0.07650576603700396,0.4744908921804369,False
NMNAT1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.28491226416391624,-0.16054126984126982,-0.16388109595408476,0.5941263070084805,False
NOMO1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.4982807354018637,0.08797484126984045,0.08675583788208846,0.7717315602020365,False
NOS3,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.4839700613423913,0.09674119047619045,0.08373342528661251,0.760647089114348,False
NPDC1,SubGroup,MV2K,MM(V)1,MV2K vs MM(V)1,0.7308144054753704,0.037066984126983726,0.0210137493459453,0.9028677798766234,False
